policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
lower_diagnostic_upper_strict,experiment,20260324_cep290_30hpf_plate01,98,91,0,0
lower_diagnostic_upper_strict,experiment,20260324_cep290_30hpf_plate02,72,55,0,0
lower_diagnostic_upper_strict,experiment,20260331_b9d2_18hpf_plate02,70,45,0,0
lower_diagnostic_upper_strict,experiment,20260414_b9d2_14hpf_plate01,107,99,2,0
lower_diagnostic_upper_strict,experiment,20260414_b9d2_30hpf_plate01,106,96,3,0
lower_diagnostic_upper_strict,experiment,20260414_b9d2_30hpf_plate02,72,65,6,0
lower_diagnostic_upper_strict,experiment,20260415_b9d2_30to48hpf_plate01_t02,109,95,4,0
lower_diagnostic_upper_strict,experiment,20260415_b9d2_30to48hpf_plate02_t02,58,50,8,0
lower_diagnostic_upper_strict,experiment,20260415_cep290_18hpf_plate03,81,48,6,0
lower_diagnostic_upper_strict,experiment,20260415_cep290_30to48hpf_plate02_t01,93,53,2,0
lower_diagnostic_upper_strict,experiment,20260416_cep290_30to48hpf_plate01_t02,109,96,7,0
lower_diagnostic_upper_strict,experiment,20260416_cep290_30to48hpf_plate02_t02,70,55,6,0
